business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
U001,0200803720,DEC corp,2020-03-30 22:08:58.750000000,2020.0,1930698352.0,2020-03-25 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAM4,97.02,
U001,0200794332,COST co,2020-03-28 04:47:43.177734375,2020.0,1930647189.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAAX,22900.828999999998,0-15
U001,0200020431,DEC us,2020-05-15 00:58:18.875000000,2020.0,1930861637.0,2020-05-06 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-01 00:00:00.000000000,NAM4,122.30399999999999,
U001,0200769623,WAL-MAR associates,2020-03-25 19:53:38.507812500,2020.0,1930635649.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAH4,537.4459999999999,
CA02,140105785,SHOPPE foundation,2020-04-22 13:20:13.125000000,2020.0,2960624627.0,2020-03-27 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,2829.6,0-15
U001,0200769623,WAL-MAR ,2020-03-19 15:50:29.031250000,2020.0,1930577078.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAH4,10160.276,0-15
U001,0200769623,WAL-MAR foundation,2020-04-28 09:39:29.750000000,2020.0,1930774741.0,2020-04-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,2020-04-10 00:00:00.000000000,NAH4,38780.217,0-15
U001,0200772670,ASSOCIAT corporation,2020-04-26 09:25:47.875000000,2020.0,1930765053.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAU5,122336.45199999998,0-15
U001,0200900909,SYSCO systems,2020-04-17 21:36:46.125000000,2020.0,1930645969.0,2020-03-13 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-13 00:00:00.000000000,NA32,22058.925,0-15
U001,0200769623,WAL-MAR systems,2020-04-23 06:46:14.187500000,2020.0,1930718081.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAH4,13791.085,0-15
U001,0200726979,BJ'S  trust,2020-04-27 23:55:28.515625000,2020.0,1930788667.0,2020-04-16 00:00:00.000000000,2020-05-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAA8,92.904,
U001,0200769623,WAL-MAR llc,2020-04-25 14:27:36.250000000,2020.0,1930709919.0,2020-03-29 00:00:00.000000000,2020-04-13 00:00:00.000000000,2020-03-29 00:00:00.000000000,NAH4,784.8050000000001,0-15
U001,0200769623,WAL-MAR llc,2020-05-02 09:31:29.875000000,2020.0,1930752568.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,7976.388,0-15
CA02,0140105847,GORDON F co,2020-04-24 20:03:38.000000000,2020.0,2960627274.0,2020-04-08 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-08 00:00:00.000000000,CA10,3685.2,0-15
U001,0200744019,TARG foundation,2020-04-02 18:50:52.062500000,2020.0,1930648342.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAA8,36486.31,0-15
U001,0200769623,WAL-MAR systems,2020-04-03 16:58:11.437500000,2020.0,1930632791.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAH4,10495.806999999999,0-15
U001,0200769623,WAL-MAR llc,2020-03-21 03:30:38.084960938,2020.0,1930617194.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,25.242,0-15
U001,0200418007,AM in,2020-04-23 03:15:10.796875000,2020.0,1930752243.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAA8,18085.333,0-15
U001,0200739006,AL foundation,2020-05-04 22:49:27.250000000,2020.0,1930768064.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,3016.335,0-15
U001,0100031704,DELHAIZE associates,2020-05-03 17:06:00.656250000,2020.0,1930789873.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,49126.749,0-15
U001,0200769623,WAL-MAR trust,2020-04-23 07:22:41.625000000,2020.0,1930705172.0,2020-03-28 00:00:00.000000000,2020-04-12 00:00:00.000000000,2020-03-28 00:00:00.000000000,NAH4,2382.66,0-15
U001,0200744019,TARG systems,2020-05-21 16:45:14.687500000,2020.0,1930620634.0,2020-03-10 00:00:00.000000000,2020-05-14 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAGD,7465.871,0-15
U001,0200769623,WAL-MAR ,2020-04-08 19:29:12.968750000,2020.0,1930676002.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAH4,5096.357,0-15
U001,0200726979,BJ'S  corporation,2020-03-23 05:40:22.375000000,2020.0,1930585378.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,9577.19,0-15
U001,0200706844,WINC associates,2020-05-09 19:23:08.000000000,2020.0,1930773419.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAA8,23763.495,16-30
U001,0200793830,M llc,2020-04-26 13:11:43.500000000,2020.0,1930767747.0,2020-04-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,2020-04-08 00:00:00.000000000,NAA8,3175.998,0-15
U001,0200769623,WAL-MAR foundation,2020-04-28 11:29:40.062500000,2020.0,1930750455.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,10049.171999999999,0-15
U001,0200769623,WAL-MAR systems,2020-04-18 13:54:08.039062500,2020.0,1930738904.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAH4,257.397,0-15
U001,0200769623,WAL-MAR trust,2020-05-30 03:48:53.750000000,2020.0,1930862467.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAH4,39399.33899999999,0-15
U001,0200769623,WAL-MAR systems,2020-03-24 08:11:13.625000000,2020.0,1930582162.0,2020-02-29 00:00:00.000000000,2020-03-15 00:00:00.000000000,2020-02-29 00:00:00.000000000,NAH4,35345.702,0-15
U001,0200769623,WAL-MAR llc,2020-05-15 15:47:16.750000000,2020.0,1930802490.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,10842.600999999999,0-15
CA02,0140104423,METRO  llc,2020-03-12 09:29:57.718750000,2020.0,2960617050.0,2020-02-27 00:00:00.000000000,2020-03-11 00:00:00.000000000,2020-03-01 00:00:00.000000000,CA10,133113.36,0-15
U001,0200726979,BJ'S  systems,2020-05-02 10:21:53.265625000,2020.0,1930801417.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAA8,252.23099999999997,
U001,0200743996,STATER  llc,2020-05-14 11:11:53.375000000,2020.0,1930660304.0,2020-03-16 00:00:00.000000000,2020-05-20 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAGD,2678.221,
U001,0200752302,KROGER trust,2020-04-20 14:10:57.375000000,2020.0,1930733767.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAA8,67671.83499999999,0-15
CA02,140105686,SYSC llc,2020-05-25 01:21:25.937500000,2020.0,2960633120.0,2020-05-06 00:00:00.000000000,2020-05-18 00:00:00.000000000,2020-05-08 00:00:00.000000000,CA10,61757.57,0-15
U001,0200711029,WEGMAN corp,2020-05-10 22:59:48.875000000,2020.0,1930742932.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,10067.553999999998,16-30
CA02,CCU001,KRAFT  corporation,2020-05-02 11:18:40.812500000,2020.0,2960622220.0,2020-03-20 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAG2,25468.67,0-15
U001,0200769623,WAL-MAR llc,2020-05-15 03:47:38.125000000,2020.0,1930804924.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,24856.964999999997,0-15
U001,0200769623,WAL-MAR associates,2020-04-26 04:05:36.937500000,2020.0,1930746955.0,2020-04-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,2020-04-05 00:00:00.000000000,NAH4,9458.827,0-15
U001,0200772670,ASSOCIAT corp,2020-04-11 21:54:47.843750000,2020.0,1930698156.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAU5,17094.931,0-15
U001,0200769623,WAL-MAR co,2020-05-09 15:39:36.718750000,2020.0,1930801200.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAH4,7852.130999999999,0-15
U001,0200769623,WAL-MAR systems,2020-05-07 05:51:39.312500000,2020.0,1930776682.0,2020-04-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,2020-04-13 00:00:00.000000000,NAH4,8787.891,0-15
U001,0200720238,WOODM co,2020-05-26 17:24:29.093750000,2020.0,1930858727.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAA8,88843.321,0-15
CA02,140106408,WAL-M in,2020-05-28 13:34:44.375000000,2020.0,2960631200.0,2020-04-25 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-25 00:00:00.000000000,CA10,40768.12,16-30
U001,0200769623,WAL-MAR co,2020-04-21 00:35:01.125000000,2020.0,1930729999.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,17384.43,0-15
U001,0200769623,WAL-MAR us,2020-04-07 02:39:54.312500000,2020.0,1930653060.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAH4,35141.981,0-15
U001,0200769623,WAL-MAR us,2020-04-28 07:03:10.875000000,2020.0,1930715979.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,5809.79,0-15
U001,0200799367,MCL corporation,2020-04-11 21:38:49.718750000,2020.0,1930673430.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAA8,36121.490999999995,0-15
U001,0200759878,SA co,2020-04-28 04:43:57.421875000,2020.0,1930783249.0,2020-04-14 00:00:00.000000000,2020-04-29 00:00:00.000000000,2020-04-14 00:00:00.000000000,NAH4,13230.693000000001,
U001,0200794332,COST corp,2020-03-29 12:04:25.066406250,2020.0,1930638145.0,2020-03-14 00:00:00.000000000,2020-03-29 00:00:00.000000000,2020-03-14 00:00:00.000000000,NAAX,34627.38999999999,0-15
U001,0200515231,US  us,2020-04-30 09:33:04.062500000,2020.0,1930768145.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,7131.361999999999,0-15
U001,0200782669,SYGMA corp,2020-03-25 17:42:54.796875000,2020.0,1930636977.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAA8,166.18,
U001,200769623,WAL-MAR foundation,2020-05-30 00:30:44.828125000,2020.0,1930882979.0,2020-05-12 00:00:00.000000000,2020-05-27 00:00:00.000000000,2020-05-12 00:00:00.000000000,NAH4,8072.987999999999,0-15
U001,0200769623,WAL-MAR ,2020-04-11 09:12:14.906250000,2020.0,1930692833.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,14012.543999999998,0-15
U001,0200331749,SYSC foundation,2020-03-24 06:05:31.375000000,2020.0,1930579080.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,3724.595,0-15
U001,0200772670,ASSOCIAT associates,2020-05-12 12:21:09.750000000,2020.0,1930819529.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAU5,21630.581,0-15
U001,0200772670,ASSOCIAT us,2020-04-23 07:12:11.000000000,2020.0,1930736164.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAU5,46090.28199999999,0-15
U001,0200706844,WINC foundation,2020-03-30 01:55:07.937500000,2020.0,1930599854.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,251.60799999999998,0-15
U001,0100043975,JAVA ,2020-04-25 12:08:12.937500000,2020.0,1930740345.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,999.1519999999998,0-15
U001,0200762301,C&S WH in,2020-03-23 09:28:22.531250000,2020.0,1930592552.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAC6,69364.197,0-15
U001,0200148860,DOLLA associates,2020-06-09 22:59:48.921875000,2020.0,1930732920.0,2020-04-03 00:00:00.000000000,2020-06-07 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAGD,4580.407999999999,0-15
CA02,0100027744,OMEGA AD in,2020-05-20 01:11:15.906250000,2020.0,2960635652.0,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,CAB1,7035.0,0-15
U001,0100031704,DELHAIZE co,2020-03-18 16:39:49.250000000,2020.0,1930585468.0,2020-03-01 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-01 00:00:00.000000000,NAA8,74475.92599999999,0-15
U001,0200799420,HT HA foundation,2020-04-26 10:25:08.000000000,2020.0,1930703225.0,2020-03-25 00:00:00.000000000,2020-04-09 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAA8,560.77,16-30
U001,0200974851,RESTA systems,2020-04-12 10:25:19.031250000,2020.0,1930706997.0,2020-03-26 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-26 00:00:00.000000000,NAA8,2496.683,0-15
U001,0200769623,WAL-MAR in,2020-05-20 09:31:02.750000000,2020.0,1930830709.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,6219.898999999999,0-15
U001,0200793568,SUPE llc,2020-03-28 00:07:27.187500000,2020.0,1930630388.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAA8,11125.288999999999,0-15
U001,0200759878,SA foundation,2020-03-22 10:09:06.648437500,2020.0,1930609945.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,49126.56,0-15
U001,0200712187,SPAR in,2020-05-07 21:53:23.171875000,2020.0,1930806222.0,2020-04-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,NAA8,83569.052,0-15
U001,0100047532,KEYSTON associates,2020-03-28 18:56:53.625000000,2020.0,1930592834.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,8296.778,0-15
U001,0200794332,COST co,2020-03-23 01:09:12.156250000,2020.0,1930562584.0,2020-02-28 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-02-28 00:00:00.000000000,NA84,7857.794,0-15
U001,0200148860,DOLLA associates,2020-05-31 01:50:04.750000000,2020.0,1930699340.0,2020-03-25 00:00:00.000000000,2020-05-29 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAGD,3819.725,0-15
U001,200794332,COST llc,2020-05-23 23:52:03.117187500,2020.0,1930862420.0,2020-05-08 00:00:00.000000000,2020-05-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,NAAX,57050.602,0-15
U001,0200555117,BURR trust,2020-04-16 15:18:45.281250000,2020.0,1930709963.0,2020-03-27 00:00:00.000000000,2020-04-11 00:00:00.000000000,2020-03-27 00:00:00.000000000,NAA8,524.3979999999999,0-15
U001,200769623,WAL-MAR in,2020-05-29 13:04:45.843750000,2020.0,1930878284.0,2020-05-09 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-09 00:00:00.000000000,NAH4,1553.9229999999998,0-15
U001,0200772670,ASSOCIAT corp,2020-04-08 23:22:06.093750000,2020.0,1930683241.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAU5,10842.846,0-15
U001,200707822,PUBLI corporation,2020-05-22 01:36:53.531250000,2020.0,1930857983.0,2020-05-04 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,NAA8,88275.537,0-15
CA02,0140104392,FLANAG us,2020-04-01 19:29:48.250000000,2020.0,2960619205.0,2020-03-06 00:00:00.000000000,2020-03-20 00:00:00.000000000,2020-03-10 00:00:00.000000000,CA10,3612.39,0-15
U001,0200769623,WAL-MAR corp,2020-05-20 06:58:19.812500000,2020.0,1930831780.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,8081.765999999999,0-15
U001,0200759878,SA systems,2020-04-17 14:48:53.937500000,2020.0,1930717567.0,2020-03-31 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-03-31 00:00:00.000000000,NAH4,33352.598999999995,0-15
U001,0200705742,DOT foundation,2020-03-13 19:43:41.113281250,2020.0,1930581678.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,4152.757,
U001,200793568,SUPE trust,2020-04-11 01:55:59.531250000,2020.0,1930690537.0,2020-03-23 00:00:00.000000000,2020-04-07 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAA8,1145.032,0-15
U001,0200726979,BJ'S  ,2020-03-31 06:37:39.125000000,2020.0,1930646128.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAA8,900.4099999999999,0-15
U001,0200704858,WAKE corp,2020-04-28 05:50:55.062500000,2020.0,1930762384.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,69697.894,0-15
U001,0200780383,MEIJ in,2020-04-06 05:42:03.343750000,2020.0,1930665025.0,2020-03-18 00:00:00.000000000,2020-04-02 00:00:00.000000000,2020-03-18 00:00:00.000000000,NAA8,2528.841,0-15
U001,0200762301,C&S WH associates,2020-04-28 17:11:23.109375000,2020.0,1930778021.0,2020-04-12 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-04-12 00:00:00.000000000,NAC6,71593.22799999999,0-15
CA02,0140106271,LONGO  in,2020-04-20 15:40:00.812500000,2020.0,2960626604.0,2020-04-03 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-07 00:00:00.000000000,CA10,12307.79,0-15
CA02,0140104423,METRO  us,2020-05-02 04:57:25.578125000,2020.0,2960628851.0,2020-04-17 00:00:00.000000000,2020-05-01 00:00:00.000000000,2020-04-21 00:00:00.000000000,CA10,64370.78,0-15
U001,0200741174,M B  co,2020-04-04 19:59:03.187500000,2020.0,1930657267.0,2020-03-16 00:00:00.000000000,2020-03-31 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAA8,4037.4809999999998,0-15
CA02,0100030194,AMAZO llc,2020-03-31 07:36:35.710937500,2020.0,2960622411.0,2020-03-18 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-20 00:00:00.000000000,CA10,14073.81,0-15
U001,0200769623,WAL-MAR trust,2020-04-23 02:05:24.875000000,2020.0,1930720012.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAH4,29665.880999999998,0-15
U001,0200592182,DECA in,2020-05-07 04:07:05.437500000,2020.0,1930822583.0,2020-04-24 00:00:00.000000000,2020-05-09 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM4,1233.2879999999998,
U001,0200743996,STATER  co,2020-04-09 07:05:36.375000000,2020.0,1930686889.0,2020-03-22 00:00:00.000000000,2020-04-06 00:00:00.000000000,2020-03-22 00:00:00.000000000,NAA8,66228.421,0-15
U001,0200769623,WAL-MAR in,2020-05-02 22:55:09.359375000,2020.0,1930787980.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAH4,15558.444999999998,0-15
U001,0200749782,KROG associates,2020-05-13 12:53:11.031250000,2020.0,1930822131.0,2020-04-25 00:00:00.000000000,2020-05-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,NAA8,61951.40699999999,0-15
U001,0200744019,TARG corp,2020-05-24 06:48:48.312500000,2020.0,1930641073.0,2020-03-13 00:00:00.000000000,2020-05-17 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAGD,1387.4419999999998,0-15
U001,0200769623,WAL-MAR foundation,2020-05-11 14:57:45.312500000,2020.0,1930804577.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,1628.2559999999999,0-15
U001,0200705742,DOT us,2020-03-16 21:19:12.390625000,2020.0,1930592413.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,6875.665999999999,
U001,0200744019,TARG trust,2020-05-26 05:07:51.000000000,2020.0,1930857489.0,2020-05-05 00:00:00.000000000,2020-05-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,NAA8,20714.693999999996,0-15
U001,0200772670,ASSOCIAT associates,2020-04-22 23:04:17.000000000,2020.0,1930739252.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAU5,33532.632,0-15
U001,0200769623,WAL-MAR corporation,2020-04-13 15:20:00.156250000,2020.0,1930692953.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,1329.23,0-15
U001,0200900909,SYSCO in,2020-04-25 23:47:10.937500000,2020.0,1930741081.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,5266.919,0-15
U001,0200424504,M  in,2020-05-02 15:33:22.875000000,2020.0,1930830032.0,2020-04-28 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-04-15 00:00:00.000000000,NACG,1699.628,16-30
U001,0100031704,DELHAIZE trust,2020-06-26 13:00:28.500000000,2020.0,1930794735.0,2020-04-16 00:00:00.000000000,2020-06-20 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAGD,823.6129999999999,0-15
U001,0200764795,SYSCO  us,2020-04-25 08:14:07.000000000,2020.0,1930637455.0,2020-03-18 00:00:00.000000000,2020-04-19 00:00:00.000000000,2020-03-18 00:00:00.000000000,NA32,7684.956999999999,0-15
U001,0200337148,COAS systems,2020-03-20 21:51:06.937500000,2020.0,1930587342.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,31589.452999999998,0-15
U001,0200416837,DEC llc,2020-03-14 10:58:21.125000000,2020.0,1930599382.0,2020-03-04 00:00:00.000000000,2020-03-24 00:00:00.000000000,2020-03-01 00:00:00.000000000,NAM4,278.712,
U001,0200769623,WAL-MAR llc,2020-03-31 06:23:40.187500000,2020.0,1930623646.0,2020-03-09 00:00:00.000000000,2020-03-24 00:00:00.000000000,2020-03-09 00:00:00.000000000,NAH4,41108.346999999994,0-15
U001,0200726979,BJ'S  associates,2020-03-24 21:44:26.671875000,2020.0,1930645815.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAA8,411.943,
U001,0200721222,GO us,2020-05-07 12:22:44.828125000,2020.0,1930800642.0,2020-04-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,NAA8,17979.549,0-15
U001,0200772595,SAFEW corporation,2020-04-19 03:06:05.687500000,2020.0,1930729101.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAA8,7014.097999999999,0-15
U001,0200820380,SMITH'S trust,2020-04-16 14:15:02.156250000,2020.0,1930716191.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAA8,33616.079,0-15
U001,0200793568,SUPE corporation,2020-04-29 04:44:02.314453125,2020.0,1930779652.0,2020-04-14 00:00:00.000000000,2020-04-29 00:00:00.000000000,2020-04-14 00:00:00.000000000,NAA8,25636.121,0-15
U001,0200706844,WINC corp,2020-05-04 14:28:31.000000000,2020.0,1930732708.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAA8,15851.170999999998,16-30
